站代號,類別,站名,縣市,鄉鎮區,地址,電話,服務中心,營業中,國道高速公路,無鉛92,無鉛95,無鉛98,酒精汽油,煤油,超柴,會員卡,刷卡自助,自助柴油站,電子發票,悠遊卡,一卡通,HappyCash,經度,緯度,營業時間,洗車類別,etag儲值時間,保養間時間
AA6212A03,加盟站,台東,台東縣,台東市,豐谷里15鄰中華路二段515號,(089)343542,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.13180200000000,22.741134000000000,06:30-22:30,,,
AA6212A06,加盟站,台糖中興,台東縣,台東市,豐年里1鄰中興路二段717號,(089)233735,D611C,TRUE,0,1,1,0,0,0,1,0,1,0,1,0,0,0,121.121174,22.768814000000000,07:00-22:00,,,
AA6212A08,加盟站,山海關,台東縣,達仁鄉,安朔村11鄰復興路37號,(089)702727,D611C,TRUE,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.886886,22.294666000000000,06:30-21:30,,,
AA6212A09,加盟站,全滿,台東縣,成功鎮,三民里1鄰大同路2號,(089)853789,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.367785,23.100533000000000,06:00-22:00,,,
AA6212A10,加盟站,荒野,台東縣,太麻里鄉,美和村8鄰荒野2-2號,(089)514447,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.046813,22.691124000000000,07:00-21:00,,,
AA6212A13,加盟站,豐盛,台東縣,台東市,豐田里4鄰中興路5段335號,(089)383393,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.07690600000000,22.771687,06:30-22:30,,,
AA6212A14,加盟站,萬年,台東縣,卑南鄉,賓朗村17鄰賓朗路321號,(089)228244,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.093729,22.801998000000000,07:00-21:00,,,
AA6212A15,加盟站,三仙台,台東縣,成功鎮,三仙里5鄰芝田路186-1號,(089)853851,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,0,0,0,0,121.38834200000000,23.114569000000000,06:00-22:00,,,
AA6212A16,加盟站,永利,台東縣,東河鄉,都蘭村17鄰都蘭41-2號,(089)531382,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.225553,22.870740000000000,07:00-20:30,,,
AA6212A17,加盟站,富岡,台東縣,台東市,富岡里1鄰吉林路二段101號,(089)280382,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,0,0,0,0,121.177029,22.778749000000000,00:00-24:00,,,
AA6212A19,加盟站,長馨,台東縣,長濱鄉,長濱村11鄰長濱271號,(089)832961,D611C,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.45916100000000,23.323929,06:00-22:00,,,
AA6212A21,加盟站,台糖中興二,台東縣,台東市,豐里里17鄰臨海路三段431號,(089)358360,D611C,TRUE,0,1,1,1,0,0,1,0,0,0,1,0,0,0,121.11899,22.727865000000000,07:00-21:00,,,
AA6212A24,加盟站,北基日盛,台東縣,台東市,鐵花里4鄰新生路76號,(089)331671,D611C,TRUE,0,1,1,0,0,0,1,0,1,0,0,0,0,0,121.149405,22.751844000000000,00:00-24:00,,,
AA6212A27,加盟站,興盛,台東縣,成功鎮,信義里2鄰隧道路68之3號,(089)896381,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.31210400000000,22.987680000000000,06:00-21:00,,,
AA6212A28,加盟站,主成,台東縣,太麻里鄉,美和村6鄰美和路86之31號,(089)515915,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.048441,22.693237,06:00-22:00,,,
AA6212A29,加盟站,海端,台東縣,海端鄉,海端村2鄰山平路52號,(089)931721,D611C,TRUE,0,1,1,0,0,0,1,0,0,0,0,0,0,0,121.176075,23.096699000000000,07:00-18:00,,,
AA6212A30,加盟站,特新,台東縣,卑南鄉,賓朗村28鄰賓朗路612號,(089)239880,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.08947500000000,22.812660000000000,06:30-22:30,,,
AA6212A31,加盟站,金崙,台東縣,金峰鄉,賓茂村賓茂路64號一樓(備註：12:00-13:00休息),(089)771009,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.959587,22.531713,07:00-19:00,,,
AA6212A32,加盟站,美得豐工,台東縣,台東市,豐田里25鄰中興路四段203號,(089)384511,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,0,0,0,0,121.098297,22.77384,06:00-22:00,,,
AA6212A33,加盟站,北基更生路,台東縣,台東市,南榮里3鄰更生路1199號,(089)220731,D611C,TRUE,0,1,1,0,0,0,1,0,0,0,0,0,0,0,121.128608,22.775278,06:30-22:30,,,
AA6212A35,加盟站,東進,台東縣,鹿野鄉,瑞豐村中山路123號,(089)581809,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.13888300000000,22.982499000000000,06:30-20:30,,,
AA6212A36,加盟站,東展,台東縣,東河鄉,都蘭村都蘭路445-3號,(089)530028,D611C,TRUE,0,1,1,0,0,0,1,1,0,0,0,0,0,0,121.23250300000000,22.880819000000000,06:00-21:00,,,
CC6212A01,加盟站,建成,台中市,南區,建成路1611號,(04)22877416,D4116,TRUE,0,1,1,0,0,0,1,1,0,0,0,0,0,0,120.675315,24.126285000000000,00:00-24:00,,,
CC6212A03,加盟站,中潭,南投縣,埔里鎮,南村里中山路四段81號,(049)2914170,D412F,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.935695,23.965226000000000,00:00-24:00,,,
CC6212A04,加盟站,萬豐,台中市,霧峰區,中正路93號,(04)23335077,D4116,TRUE,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.69593500000000,24.020043000000000,06:30-23:30,,,
CC6212A10,加盟站,博愛,南投縣,草屯鎮,博愛路999號,(049)2336084,D412F,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.67100600000000,23.988424000000000,00:00-24:00,,,
CC6212A14,加盟站,信興,彰化縣,溪湖鎮,員鹿路112號,(04)8812736,D412D,TRUE,0,1,1,1,0,0,1,1,0,0,1,0,0,0,120.49145900000000,23.954813000000000,00:00-24:00,,,
CC6212A15,加盟站,楠埔,南投縣,草屯鎮,中正路233-89號,(049)2552846,D412F,TRUE,0,1,1,0,0,0,1,1,0,0,1,0,0,0,120.735473,23.983449,00:00-24:00,,,
CC6212A18,加盟站,洽維,台中市,沙鹿區,六路里臺灣大道六段808號,(04)26317135,D412B,TRUE,0,1,1,1,0,0,1,1,1,1,0,0,0,0,120.581641,24.211220000000000,00:00-24:00,,,
CC6212A19,加盟站,龍益,彰化縣,芬園鄉,溪頭村員草路一段63號,(049)2525891,D412D,TRUE,0,1,1,1,0,0,1,1,0,0,0,0,0,0,120.643766,23.970529000000000,06:30-21:00,,,
